transaction_id,customer_id,transaction_date,product_id,product_category,amount,channel,status,is_first_product
T00000041,sdv-id-pEfHeG,2024-04-24,P013,Investment,902.46,Online,Completed,True
T00000042,sdv-id-pEfHeG,2023-10-05,P002,Banking,997.58,Online,Completed,True
T00000043,sdv-id-pEfHeG,2022-10-12,P009,Banking,1268.07,Mobile App,Completed,False
T00000044,sdv-id-pEfHeG,2022-06-23,P002,Credit,1079.46,Mobile App,Cancelled,True
T00000045,sdv-id-mRjWyl,2023-12-20,P014,Insurance,557.46,Online,Completed,True
T00000046,sdv-id-mRjWyl,2024-11-16,P013,Banking,1628.98,Mobile App,Completed,True
T00000047,sdv-id-mRjWyl,2024-11-20,P010,Banking,1922.55,Online,Completed,True
T00000048,sdv-id-gygGBd,2025-07-31,P014,Insurance,0.01,Phone,Completed,True
T00000049,sdv-id-gygGBd,2025-05-12,P002,Banking,1328.88,Branch,Completed,False
T00000050,sdv-id-gygGBd,2025-05-13,P007,Banking,1866.03,Branch,Completed,True
T00000051,sdv-id-gygGBd,2025-07-18,P007,Insurance,2138.47,Online,Completed,False
T00000052,sdv-id-gygGBd,2025-05-08,P007,Investment,1378.53,Branch,Cancelled,False
T00000053,sdv-id-gygGBd,2024-12-22,P007,Banking,448.1,Online,Cancelled,False
T00000054,sdv-id-gygGBd,2025-06-05,P007,Investment,711.24,Branch,Completed,False
T00000055,sdv-id-gygGBd,2025-09-15,P011,Investment,1376.35,Online,Cancelled,False
T00000056,sdv-id-XATCBo,2025-02-23,P009,Banking,373.81,Phone,Completed,True
T00000057,sdv-id-XATCBo,2025-04-29,P008,Credit,1328.88,Online,Completed,False
T00000058,sdv-id-XATCBo,2026-01-05,P008,Investment,1296.83,Phone,Completed,False
T00000059,sdv-id-XATCBo,2025-11-29,P002,Banking,998.0,Mobile App,Completed,False
T00000060,sdv-id-XATCBo,2026-02-20,P007,Banking,722.42,Online,Cancelled,False
T00000061,sdv-id-XATCBo,2026-09-18,P001,Credit,813.14,Mobile App,Cancelled,False
T00000062,sdv-id-XATCBo,2027-03-17,P007,Banking,652.37,Mobile App,Completed,False
T00000063,sdv-id-XATCBo,2027-03-29,P007,Investment,946.8,Online,Completed,True
T00000064,sdv-id-XATCBo,2027-02-27,P003,Banking,755.36,Phone,Completed,False
T00000065,sdv-id-MJZgaF,2024-05-18,P009,Investment,0.01,Online,Completed,True
T00000066,sdv-id-MJZgaF,2024-02-16,P001,Banking,1328.88,Mobile App,Completed,False
T00000067,sdv-id-MJZgaF,2025-10-14,P003,Banking,2211.05,Online,Completed,False
T00000068,sdv-id-PQPHiv,2022-03-18,P011,Banking,0.01,Online,Cancelled,True
T00000069,sdv-id-PQPHiv,2023-01-30,P002,Investment,1382.58,Online,Cancelled,True
T00000070,sdv-id-PQPHiv,2023-04-03,P008,Investment,822.93,Mobile App,Completed,True
T00000071,sdv-id-FfhJzV,2025-04-05,P005,Investment,0.01,Phone,Completed,True
T00000072,sdv-id-uZBIOh,2024-02-01,P003,Banking,1551.52,Branch,Pending,True
T00000073,sdv-id-uZBIOh,2023-07-30,P002,Banking,827.12,Online,Completed,False
T00000074,sdv-id-uZBIOh,2023-02-27,P013,Investment,1069.98,Online,Completed,False
T00000075,sdv-id-EAePZm,2024-10-03,P013,Insurance,3150.98,Online,Completed,False
T00000076,sdv-id-EAePZm,2025-08-14,P015,Banking,1121.27,Mobile App,Completed,False
T00000077,sdv-id-EAePZm,2025-11-08,P012,Insurance,869.12,Online,Cancelled,False
T00000078,sdv-id-EAePZm,2026-05-11,P001,Investment,1012.85,Online,Cancelled,False
T00000079,sdv-id-EAePZm,2026-09-20,P002,Banking,1172.13,Online,Completed,False
T00000080,sdv-id-EAePZm,2027-01-20,P007,Investment,1463.71,Online,Completed,True
T00000081,sdv-id-ZfhMxm,2023-06-14,P014,Credit,0.01,Mobile App,Completed,True
T00000082,sdv-id-ZfhMxm,2023-07-28,P002,Insurance,1476.62,Branch,Cancelled,True
T00000083,sdv-id-ConjiA,2022-05-03,P001,Insurance,1328.88,Mobile App,Completed,True
T00000084,sdv-id-ConjiA,2021-07-29,P011,Investment,519.05,Online,Cancelled,True
T00000085,sdv-id-ConjiA,2021-08-29,P003,Banking,1328.88,Online,Completed,True
T00000086,sdv-id-ConjiA,2022-02-18,P013,Credit,1596.69,Mobile App,Completed,True
T00000087,sdv-id-ConjiA,2021-12-22,P001,Investment,760.08,Online,Completed,False
T00000088,sdv-id-ConjiA,2022-07-05,P003,Banking,545.2,Online,Completed,False
T00000089,sdv-id-ConjiA,2022-07-04,P007,Insurance,1915.4,Online,Pending,False
T00000090,sdv-id-ConjiA,2022-10-05,P009,Investment,1623.35,Online,Cancelled,False
T00000091,sdv-id-bSXnQg,2022-02-15,P015,Banking,1285.65,Branch,Completed,False
T00000092,sdv-id-bSXnQg,2023-03-24,P001,Banking,1033.89,Branch,Completed,True
T00000093,sdv-id-bSXnQg,2023-11-20,P008,Banking,1279.23,Mobile App,Cancelled,True
T00000094,sdv-id-bSXnQg,2023-08-16,P007,Investment,1173.19,Online,Cancelled,True
T00000095,sdv-id-bhlewe,2022-04-28,P014,Insurance,4376.6,Phone,Completed,False
T00000096,sdv-id-bhlewe,2024-05-03,P006,Banking,1002.9,Mobile App,Completed,True
T00000097,sdv-id-bhlewe,2025-03-03,P007,Insurance,2756.33,Online,Completed,True
T00000098,sdv-id-bhlewe,2025-04-12,P007,Investment,2473.75,Online,Cancelled,False
T00000099,sdv-id-bhlewe,2025-03-03,P006,Investment,0.01,Online,Completed,True
T00000100,sdv-id-bhlewe,2025-08-01,P010,Investment,1092.94,Branch,Completed,False
T00000101,sdv-id-xfqLvn,2024-08-06,P008,Banking,1328.88,Online,Pending,True
T00000102,sdv-id-xfqLvn,2024-04-10,P007,Insurance,1382.46,Mobile App,Completed,True
T00000103,sdv-id-xfqLvn,2023-08-24,P008,Insurance,990.43,Online,Completed,False
T00000104,sdv-id-xfqLvn,2024-01-11,P008,Insurance,936.69,Branch,Cancelled,False
T00000105,sdv-id-hnylHz,2022-06-03,P007,Banking,2000.11,Mobile App,Completed,False
T00000106,sdv-id-hnylHz,2023-02-19,P008,Banking,1410.74,Phone,Completed,True
T00000107,sdv-id-hnylHz,2022-06-22,P013,Banking,725.32,Online,Cancelled,False
T00000108,sdv-id-hnylHz,2022-09-01,P001,Banking,1260.59,Branch,Cancelled,False
T00000109,sdv-id-hnylHz,2021-09-04,P003,Investment,2405.43,Online,Cancelled,True
T00000110,sdv-id-hnylHz,2022-03-28,P011,Banking,910.05,Mobile App,Completed,False
T00000111,sdv-id-hnylHz,2021-03-17,P007,Credit,1137.92,Online,Completed,True
T00000112,sdv-id-hnylHz,2021-10-11,P014,Investment,1376.43,Online,Completed,True
T00000113,sdv-id-hnylHz,2021-06-28,P007,Banking,1386.77,Online,Completed,False
T00000114,sdv-id-hnylHz,2021-08-30,P001,Investment,604.95,Branch,Cancelled,False
T00000115,sdv-id-hnylHz,2021-11-01,P002,Insurance,410.16,Online,Cancelled,False
T00000116,sdv-id-ZTHgVE,2023-05-08,P008,Banking,1328.88,Branch,Pending,True
T00000117,sdv-id-ZTHgVE,2023-10-04,P011,Banking,1026.95,Mobile App,Completed,True
T00000118,sdv-id-tWzsWs,2025-11-04,P003,Credit,1328.88,Mobile App,Completed,True
T00000119,sdv-id-tWzsWs,2024-10-01,P007,Credit,2104.35,Online,Cancelled,False
T00000120,sdv-id-tWzsWs,2024-06-16,P010,Banking,3467.16,Online,Completed,True
T00000121,sdv-id-tWzsWs,2024-08-23,P005,Banking,813.31,Mobile App,Cancelled,False
T00000122,sdv-id-tWzsWs,2024-09-12,P003,Banking,3636.46,Phone,Pending,True
T00000123,sdv-id-tWzsWs,2024-09-20,P003,Credit,1945.2,Online,Cancelled,False
T00000124,sdv-id-tWzsWs,2025-08-16,P007,Investment,1493.13,Mobile App,Cancelled,False
T00000125,sdv-id-tWzsWs,2025-12-23,P001,Investment,1097.28,Online,Completed,False
T00000126,sdv-id-tWzsWs,2026-03-29,P007,Investment,1884.19,Online,Completed,True
T00000127,sdv-id-tHEbbR,2022-11-14,P002,Insurance,3880.67,Mobile App,Completed,False
T00000128,sdv-id-tHEbbR,2022-11-13,P006,Banking,1498.41,Branch,Completed,True
T00000129,sdv-id-WteXsm,2025-09-01,P009,Banking,523.36,Branch,Cancelled,True
T00000130,sdv-id-WteXsm,2026-06-26,P010,Banking,1024.34,Mobile App,Completed,False
T00000131,sdv-id-WteXsm,2026-05-20,P008,Credit,1284.4,Online,Cancelled,True
T00000132,sdv-id-PNlwFV,2023-09-02,P001,Investment,0.01,Phone,Completed,False
T00000133,sdv-id-CZUcno,2024-12-11,P013,Insurance,1328.88,Branch,Completed,True
T00000134,sdv-id-CZUcno,2025-01-21,P010,Insurance,0.01,Online,Completed,True
T00000135,sdv-id-CZUcno,2025-06-18,P007,Banking,1889.18,Online,Completed,True
T00000136,sdv-id-CZUcno,2025-05-05,P014,Investment,1394.37,Branch,Completed,False
T00000137,sdv-id-CZUcno,2025-11-20,P002,Investment,1311.89,Online,Completed,False
T00000138,sdv-id-TFkoFv,2022-11-06,P011,Investment,548.67,Branch,Completed,True
T00000139,sdv-id-TFkoFv,2022-10-01,P005,Credit,1459.18,Mobile App,Pending,False
T00000140,sdv-id-TFkoFv,2022-06-29,P007,Banking,1036.26,Online,Completed,True
T00000141,sdv-id-TFkoFv,2022-06-27,P002,Banking,679.35,Branch,Completed,False
T00000142,sdv-id-TFkoFv,2022-05-28,P010,Banking,850.18,Branch,Cancelled,True
T00000143,sdv-id-AHsrHE,2025-04-29,P009,Investment,274.26,Phone,Cancelled,True
T00000144,sdv-id-AHsrHE,2025-10-23,P012,Banking,1858.3,Mobile App,Cancelled,False
T00000145,sdv-id-AHsrHE,2026-04-09,P008,Insurance,2019.03,Mobile App,Completed,True
T00000146,sdv-id-AHsrHE,2026-01-04,P007,Credit,2373.79,Online,Completed,False
T00000147,sdv-id-NiIlqs,2024-08-16,P011,Insurance,0.01,Mobile App,Completed,True
T00000148,sdv-id-NcvASW,2022-04-03,P002,Investment,1557.75,Branch,Completed,True
T00000149,sdv-id-NcvASW,2020-09-01,P007,Banking,621.74,Online,Cancelled,True
T00000150,sdv-id-NcvASW,2019-02-13,P001,Banking,283.46,Branch,Completed,True
T00000151,sdv-id-NcvASW,2018-10-04,P010,Credit,804.32,Mobile App,Completed,True
T00000152,sdv-id-NcvASW,2018-12-11,P013,Insurance,958.26,Mobile App,Cancelled,True
T00000153,sdv-id-NcvASW,2018-10-26,P014,Investment,1126.33,Branch,Completed,True
T00000154,sdv-id-NcvASW,2018-12-02,P013,Insurance,1301.52,Online,Completed,False
T00000155,sdv-id-fzWMfS,2024-08-04,P002,Insurance,422.18,Branch,Cancelled,False
T00000156,sdv-id-fzWMfS,2024-10-17,P001,Banking,942.96,Online,Completed,False
T00000157,sdv-id-fzWMfS,2025-09-23,P008,Investment,1101.97,Online,Completed,False
T00000158,sdv-id-SGkXbz,2024-09-08,P008,Investment,1067.17,Mobile App,Completed,False
T00000159,sdv-id-SGkXbz,2024-12-28,P001,Investment,931.23,Branch,Completed,False
T00000160,sdv-id-SGkXbz,2025-07-05,P001,Investment,1125.68,Online,Completed,True
T00000161,sdv-id-SGkXbz,2025-12-25,P014,Investment,1296.46,Mobile App,Cancelled,False
T00000162,sdv-id-SGkXbz,2026-01-21,P003,Banking,970.1,Mobile App,Cancelled,False
T00000163,sdv-id-SGkXbz,2026-09-23,P011,Banking,1268.77,Online,Cancelled,False
T00000164,sdv-id-SGkXbz,2026-12-02,P002,Banking,1051.24,Online,Pending,False
T00000165,sdv-id-SGkXbz,2027-03-30,P008,Banking,835.39,Online,Completed,True
T00000166,sdv-id-nNYhjY,2022-03-16,P008,Credit,981.85,Online,Completed,False
T00000167,sdv-id-nNYhjY,2022-02-17,P001,Credit,1175.15,Mobile App,Completed,True
T00000168,sdv-id-nNYhjY,2022-02-25,P002,Credit,803.75,Online,Completed,True
T00000169,sdv-id-nNYhjY,2021-01-27,P007,Banking,171.73,Branch,Completed,True
T00000170,sdv-id-nNYhjY,2021-06-08,P007,Investment,90.54,Mobile App,Completed,True
T00000171,sdv-id-oztIjD,2025-09-01,P007,Banking,1190.7,Mobile App,Completed,True
T00000172,sdv-id-oztIjD,2025-03-21,P002,Insurance,1183.59,Mobile App,Cancelled,False
T00000173,sdv-id-oztIjD,2026-01-19,P013,Insurance,1040.27,Branch,Completed,True
T00000174,sdv-id-oztIjD,2025-09-28,P007,Banking,1271.05,Online,Completed,False
T00000175,sdv-id-oztIjD,2025-12-01,P007,Investment,949.26,Online,Completed,False
T00000176,sdv-id-oztIjD,2026-03-10,P010,Investment,727.91,Online,Completed,False
T00000177,sdv-id-oztIjD,2026-02-12,P006,Insurance,607.36,Online,Cancelled,False
T00000178,sdv-id-oztIjD,2026-06-08,P001,Banking,1091.88,Mobile App,Completed,False
T00000179,sdv-id-OSFcOz,2023-01-10,P003,Banking,1328.88,Phone,Completed,True
T00000180,sdv-id-OSFcOz,2023-04-29,P003,Investment,435.23,Online,Completed,False
T00000181,sdv-id-OSFcOz,2022-12-02,P002,Insurance,1439.75,Phone,Completed,True
T00000182,sdv-id-OSFcOz,2022-12-06,P011,Investment,1466.85,Online,Cancelled,False
T00000183,sdv-id-OSFcOz,2022-11-18,P007,Investment,1591.06,Phone,Completed,True
T00000184,sdv-id-GqNWsw,2022-03-15,P008,Insurance,2324.85,Mobile App,Completed,True
T00000185,sdv-id-GqNWsw,2022-02-07,P007,Insurance,2259.7,Online,Completed,True
T00000186,sdv-id-ZVBxCR,2025-06-20,P008,Banking,1282.88,Branch,Completed,False
T00000187,sdv-id-ZVBxCR,2025-03-17,P005,Banking,1235.31,Online,Completed,True
T00000188,sdv-id-LHIGnN,2022-04-02,P010,Banking,1328.88,Branch,Completed,False
T00000189,sdv-id-LHIGnN,2023-07-03,P007,Banking,775.13,Mobile App,Completed,False
T00000190,sdv-id-LHIGnN,2023-07-25,P008,Insurance,883.27,Branch,Completed,True
T00000191,sdv-id-kxlcjZ,2025-04-18,P002,Investment,3287.59,Branch,Completed,True
T00000192,sdv-id-kxlcjZ,2025-02-24,P001,Banking,654.19,Online,Completed,True
T00000193,sdv-id-kxlcjZ,2025-08-03,P007,Insurance,1422.78,Online,Completed,False
T00000194,sdv-id-kxlcjZ,2025-08-21,P015,Banking,434.24,Online,Completed,True
T00000195,sdv-id-kxlcjZ,2025-07-11,P007,Banking,1695.87,Online,Cancelled,True
T00000196,sdv-id-kxlcjZ,2025-10-29,P003,Investment,918.46,Mobile App,Completed,False
T00000197,sdv-id-kxlcjZ,2026-05-09,P007,Investment,1015.91,Online,Cancelled,False
T00000198,sdv-id-kxlcjZ,2026-05-24,P007,Investment,972.94,Online,Cancelled,False
T00000199,sdv-id-kxlcjZ,2026-05-14,P001,Credit,1518.19,Online,Cancelled,False
T00000200,sdv-id-kxlcjZ,2026-04-05,P008,Investment,1822.03,Online,Cancelled,False
T00000201,sdv-id-kxlcjZ,2026-06-26,P007,Investment,921.42,Online,Cancelled,True
T00000202,sdv-id-wPbZqB,2025-08-14,P008,Investment,1231.14,Branch,Completed,False
T00000203,sdv-id-wPbZqB,2026-03-31,P007,Insurance,547.59,Mobile App,Completed,True
T00000204,sdv-id-wPbZqB,2026-06-26,P008,Insurance,1364.27,Branch,Completed,False
T00000205,sdv-id-wPbZqB,2027-07-06,P007,Banking,1414.73,Online,Completed,False
T00000206,sdv-id-wPbZqB,2027-06-25,P008,Banking,1027.57,Online,Cancelled,True
T00000207,sdv-id-yyfDuf,2023-01-19,P008,Banking,567.78,Mobile App,Completed,True
T00000208,sdv-id-yyfDuf,2023-07-16,P009,Credit,1188.82,Branch,Completed,False
T00000209,sdv-id-yyfDuf,2023-11-30,P007,Banking,1617.94,Online,Cancelled,False
T00000210,sdv-id-yyfDuf,2024-01-09,P007,Insurance,1007.38,Branch,Cancelled,False
T00000211,sdv-id-PtPWZO,2022-12-08,P002,Investment,809.63,Branch,Completed,True
T00000212,sdv-id-PtPWZO,2023-01-19,P014,Investment,608.29,Online,Completed,False
T00000213,sdv-id-PtPWZO,2022-09-17,P013,Insurance,808.21,Mobile App,Cancelled,True
T00000214,sdv-id-PtPWZO,2022-05-24,P007,Investment,834.13,Mobile App,Completed,False
T00000215,sdv-id-PtPWZO,2022-07-22,P015,Credit,573.29,Branch,Completed,False
T00000216,sdv-id-PtPWZO,2022-06-15,P014,Investment,1596.57,Branch,Completed,False
T00000217,sdv-id-PtPWZO,2022-09-23,P010,Banking,507.86,Online,Completed,False
T00000218,sdv-id-PtPWZO,2022-10-19,P010,Insurance,820.75,Online,Cancelled,False
T00000219,sdv-id-PtPWZO,2022-12-24,P009,Banking,1080.38,Online,Completed,False
T00000220,sdv-id-PtPWZO,2022-10-13,P008,Credit,479.14,Mobile App,Completed,True
T00000221,sdv-id-vMjXsB,2023-07-18,P006,Banking,2290.48,Online,Completed,True
T00000222,sdv-id-vMjXsB,2022-12-01,P003,Banking,1513.28,Online,Completed,True
T00000223,sdv-id-vMjXsB,2022-06-29,P007,Investment,1647.89,Mobile App,Completed,True
T00000224,sdv-id-vMjXsB,2022-08-07,P011,Investment,966.92,Online,Completed,True
T00000225,sdv-id-vMjXsB,2022-07-17,P007,Investment,1372.6,Online,Completed,True
T00000226,sdv-id-vMjXsB,2022-12-17,P013,Investment,697.2,Branch,Completed,True
T00000227,sdv-id-vMjXsB,2023-09-03,P013,Banking,1167.79,Online,Cancelled,True
T00000228,sdv-id-vMjXsB,2023-12-07,P009,Investment,2143.6,Online,Cancelled,False
T00000229,sdv-id-DXpiWT,2024-04-05,P002,Banking,7415.95,Online,Completed,True
T00000230,sdv-id-DXpiWT,2024-04-29,P007,Insurance,1321.54,Online,Completed,False
T00000231,sdv-id-DXpiWT,2024-06-12,P012,Insurance,1520.01,Mobile App,Cancelled,False
T00000232,sdv-id-DXpiWT,2024-10-26,P003,Investment,2755.98,Mobile App,Completed,False
T00000233,sdv-id-DXpiWT,2025-10-22,P015,Investment,6823.41,Mobile App,Cancelled,True
T00000234,sdv-id-DXpiWT,2026-06-14,P007,Investment,2973.22,Online,Completed,False
T00000235,sdv-id-DXpiWT,2027-02-28,P011,Banking,2229.24,Mobile App,Completed,False
T00000236,sdv-id-SJSXch,2023-08-19,P004,Credit,1356.11,Mobile App,Cancelled,True
T00000237,sdv-id-SJSXch,2024-03-01,P015,Insurance,0.01,Phone,Completed,True
T00000238,sdv-id-SJSXch,2024-02-06,P011,Investment,787.47,Mobile App,Completed,False
T00000239,sdv-id-SJSXch,2024-08-23,P013,Banking,1058.89,Online,Completed,False
T00000240,sdv-id-SJSXch,2025-03-07,P008,Investment,1923.3,Online,Cancelled,True
T00000241,sdv-id-SJSXch,2025-09-22,P007,Investment,995.08,Online,Completed,True
T00000242,sdv-id-SJSXch,2026-01-11,P007,Investment,1273.48,Online,Cancelled,True
T00000243,sdv-id-EgGrXy,2024-04-03,P003,Banking,0.01,Mobile App,Completed,False
T00000244,sdv-id-EgGrXy,2024-07-27,P005,Banking,1647.52,Online,Completed,True
T00000245,sdv-id-EgGrXy,2025-02-20,P014,Credit,1060.22,Online,Completed,True
T00000246,sdv-id-EgGrXy,2025-04-28,P008,Investment,1024.23,Branch,Completed,True
T00000247,sdv-id-EgGrXy,2025-09-04,P007,Banking,1448.0,Online,Cancelled,False
T00000248,sdv-id-EgGrXy,2025-04-14,P002,Banking,1324.5,Online,Cancelled,False
T00000249,sdv-id-EgGrXy,2025-11-19,P014,Investment,994.93,Mobile App,Cancelled,True
T00000250,sdv-id-EgGrXy,2026-04-23,P008,Banking,1330.94,Online,Cancelled,False
T00000251,sdv-id-EgGrXy,2026-07-25,P007,Banking,1017.97,Online,Completed,False
T00000252,sdv-id-EgGrXy,2026-11-16,P001,Insurance,1137.47,Branch,Cancelled,False
T00000253,sdv-id-EgGrXy,2027-01-10,P003,Banking,993.94,Online,Cancelled,False
T00000254,sdv-id-VfKhXL,2024-09-22,P014,Banking,1120.88,Online,Cancelled,True
T00000255,sdv-id-VfKhXL,2024-02-25,P007,Investment,1643.27,Mobile App,Completed,True
T00000256,sdv-id-VfKhXL,2024-04-20,P007,Banking,0.01,Mobile App,Completed,True
T00000257,sdv-id-VfKhXL,2023-08-17,P013,Insurance,812.2,Online,Completed,False
T00000258,sdv-id-VfKhXL,2024-03-15,P007,Investment,2974.52,Online,Cancelled,False
T00000259,sdv-id-VfKhXL,2024-04-02,P009,Investment,0.01,Online,Completed,False
T00000260,sdv-id-VfKhXL,2024-02-24,P007,Investment,2261.33,Online,Cancelled,False
T00000261,sdv-id-VfKhXL,2024-08-08,P015,Investment,1901.17,Mobile App,Cancelled,False
T00000262,sdv-id-VfKhXL,2024-07-12,P007,Insurance,1647.48,Online,Completed,True
T00000263,sdv-id-yyfDuf,2022-06-15,P012,Insurance,360.95,Mobile App,Completed,True
T00000264,sdv-id-yyfDuf,2022-03-29,P008,Banking,957.52,Online,Completed,True
T00000265,sdv-id-yyfDuf,2022-02-05,P010,Banking,1248.97,Online,Completed,True
T00000266,sdv-id-yyfDuf,2020-12-16,P007,Banking,1102.42,Online,Completed,True
T00000267,sdv-id-yyfDuf,2020-11-07,P001,Banking,1238.89,Mobile App,Cancelled,False
T00000268,sdv-id-yyfDuf,2020-11-29,P003,Insurance,1365.66,Online,Completed,False
T00000269,sdv-id-yyfDuf,2021-06-22,P007,Banking,869.06,Branch,Completed,True
T00000270,sdv-id-yyfDuf,2021-06-04,P014,Investment,1577.07,Mobile App,Cancelled,False
T00000271,sdv-id-yyfDuf,2021-09-27,P008,Insurance,1127.47,Online,Cancelled,False
T00000272,sdv-id-yyfDuf,2021-07-12,P003,Banking,1094.36,Online,Completed,True
T00000273,sdv-id-yyfDuf,2021-01-17,P009,Banking,1305.16,Branch,Completed,True
T00000274,sdv-id-VEdXTd,2024-11-07,P015,Insurance,0.01,Mobile App,Pending,True
T00000275,sdv-id-VEdXTd,2024-09-22,P003,Investment,1067.71,Mobile App,Completed,False
T00000276,sdv-id-VEdXTd,2024-01-02,P007,Investment,1518.72,Online,Completed,False
T00000277,sdv-id-VEdXTd,2024-01-25,P007,Insurance,1144.19,Online,Cancelled,False
T00000278,sdv-id-VEdXTd,2023-07-18,P001,Banking,1123.55,Online,Completed,True
T00000279,sdv-id-VEdXTd,2023-02-19,P010,Investment,716.52,Online,Pending,False
T00000280,sdv-id-VEdXTd,2022-10-24,P010,Investment,1030.78,Mobile App,Cancelled,False
T00000281,sdv-id-VEdXTd,2023-03-21,P001,Banking,1212.71,Branch,Completed,False
T00000282,sdv-id-VEdXTd,2022-12-24,P007,Investment,773.9,Mobile App,Cancelled,True
T00000283,sdv-id-NDkmAo,2025-10-18,P008,Credit,1490.06,Branch,Completed,False
T00000284,sdv-id-NDkmAo,2025-02-04,P008,Banking,428.71,Online,Completed,True
T00000285,sdv-id-NDkmAo,2025-01-08,P008,Banking,936.79,Branch,Completed,True
T00000286,sdv-id-NDkmAo,2024-10-26,P013,Investment,971.11,Online,Cancelled,True
T00000287,sdv-id-NDkmAo,2025-01-24,P008,Banking,1402.3,Phone,Completed,True
T00000288,sdv-id-vIzFWL,2024-03-19,P004,Banking,746.0,Online,Completed,False
T00000289,sdv-id-vIzFWL,2023-08-09,P008,Insurance,1075.69,Phone,Cancelled,True
T00000290,sdv-id-vIzFWL,2024-03-08,P007,Banking,1131.14,Online,Cancelled,True
T00000291,sdv-id-vIzFWL,2024-01-24,P002,Insurance,789.0,Phone,Completed,False
T00000292,sdv-id-vIzFWL,2024-02-18,P007,Insurance,1084.9,Online,Pending,False
T00000293,sdv-id-vIzFWL,2024-02-01,P012,Insurance,886.7,Online,Cancelled,True
