transaction_id,product_id,product_category,amount,transaction_date,channel,status,is_first_product,customer_id
T00130001,P009,Insurance,59.16,2022-02-03,Online,Completed,True,sdv-id-PIchIV
T00130002,P013,Banking,1008.64,2025-07-10,Branch,Completed,True,sdv-id-PIchIV
T00130003,P005,Credit,2194.14,2022-07-11,Mobile App,Completed,True,sdv-id-PIchIV
T00130004,P004,Credit,111.6,2022-02-11,Online,Cancelled,True,sdv-id-PIchIV
T00130005,P013,Banking,723.0,2025-06-11,Branch,Pending,True,sdv-id-PIchIV
T00130006,P014,Banking,5578.04,2024-04-01,Online,Pending,True,sdv-id-PIchIV
T00130007,P014,Banking,643.74,2022-11-20,Branch,Completed,True,sdv-id-PIchIV
T00140000,P013,Banking,915.07,2025-08-30,Branch,Pending,True,sdv-id-nbtaME
T00140001,P002,Banking,23.5,2025-10-09,Branch,Completed,False,sdv-id-nbtaME
T00140002,P003,Credit,592.45,2025-11-16,Branch,Completed,True,sdv-id-nbtaME
T00140003,P008,Insurance,81.52,2025-09-19,Branch,Completed,True,sdv-id-nbtaME
T00140004,P013,Banking,817.78,2025-10-21,Branch,Pending,True,sdv-id-nbtaME
T00140005,P002,Banking,385.3,2022-05-20,Online,Pending,False,sdv-id-nbtaME
T00140006,P013,Banking,962.62,2025-08-28,Online,Pending,True,sdv-id-nbtaME
T00150000,P010,Insurance,66.35,2025-11-11,Branch,Completed,True,sdv-id-iJgMWZ
T00150001,P008,Insurance,10.41,2022-01-01,Online,Completed,False,sdv-id-iJgMWZ
T00150002,P013,Banking,1162.41,2025-04-22,Branch,Pending,True,sdv-id-iJgMWZ
T00160000,P001,Banking,119.88,2025-08-11,Online,Completed,True,sdv-id-mvlnhQ
T00160001,P014,Banking,1983.72,2025-06-11,Branch,Completed,True,sdv-id-mvlnhQ
T00160002,P014,Banking,1702.21,2022-07-16,Branch,Cancelled,True,sdv-id-mvlnhQ
T00170000,P012,Investment,2054.79,2022-11-03,Branch,Completed,True,sdv-id-vIzFWL
T00170001,P009,Insurance,81.11,2025-05-30,Branch,Pending,True,sdv-id-vIzFWL
T00170002,P015,Investment,0.06,2024-06-12,Online,Pending,False,sdv-id-vIzFWL
T00170003,P012,Investment,339.84,2022-02-19,Branch,Cancelled,True,sdv-id-vIzFWL
T00170004,P013,Banking,828.55,2025-12-08,Branch,Cancelled,True,sdv-id-vIzFWL
T00170005,P011,Investment,1151.14,2025-12-30,Branch,Completed,True,sdv-id-vIzFWL
T00180000,P001,Banking,33.47,2022-04-06,Branch,Pending,True,sdv-id-aYfPFf
T00180001,P002,Banking,7.51,2025-08-17,Branch,Completed,False,sdv-id-aYfPFf
T00180002,P002,Banking,2.41,2024-03-26,Mobile App,Completed,True,sdv-id-aYfPFf
T00190000,P002,Banking,0.06,2024-11-11,Online,Completed,False,sdv-id-DjXAFi
T00190001,P008,Insurance,66.43,2023-10-06,Online,Pending,False,sdv-id-DjXAFi
T00190002,P008,Insurance,52.35,2025-08-11,Online,Completed,False,sdv-id-DjXAFi
T00200000,P001,Banking,33.67,2022-09-24,Online,Completed,False,sdv-id-HHyeJq
T00200001,P002,Banking,59.54,2022-02-10,Branch,Pending,False,sdv-id-HHyeJq
T00200002,P010,Insurance,122.26,2024-06-09,Mobile App,Pending,True,sdv-id-HHyeJq
T00200003,P012,Investment,4726.23,2022-04-30,Branch,Cancelled,True,sdv-id-HHyeJq
T00210000,P008,Insurance,140.64,2022-07-13,Branch,Pending,True,sdv-id-vgZlGh
T00210001,P002,Banking,574.43,2025-11-09,Branch,Pending,True,sdv-id-vgZlGh
T00220000,P011,Investment,143.82,2022-02-14,Branch,Pending,True,sdv-id-ZhZKee
T00220001,P013,Banking,1299.96,2025-12-31,Mobile App,Pending,True,sdv-id-ZhZKee
T00220002,P013,Banking,1710.9,2022-01-28,Online,Pending,True,sdv-id-ZhZKee
T00220003,P003,Credit,623.93,2025-08-30,Branch,Completed,False,sdv-id-ZhZKee
T00230000,P001,Banking,0.06,2024-06-30,Online,Pending,False,sdv-id-tWBpjH
T00230001,P002,Banking,582.92,2022-01-01,Mobile App,Completed,True,sdv-id-tWBpjH
T00240000,P003,Credit,665.56,2025-04-13,Branch,Completed,True,sdv-id-PFqeat
T00240001,P002,Banking,43.66,2022-04-18,Online,Completed,True,sdv-id-PFqeat
T00240002,P010,Insurance,160.59,2025-11-08,Branch,Completed,True,sdv-id-PFqeat
T00250000,P013,Banking,846.15,2022-02-25,Branch,Completed,True,sdv-id-SSpJBj
T00250001,P001,Banking,28.14,2025-10-01,Branch,Cancelled,True,sdv-id-SSpJBj
T00250002,P010,Insurance,127.75,2025-10-10,Mobile App,Completed,True,sdv-id-SSpJBj
T00260000,P003,Credit,378.41,2022-05-13,Branch,Cancelled,False,sdv-id-DNRKBY
T00260001,P011,Investment,128.43,2024-11-01,Branch,Completed,True,sdv-id-DNRKBY
T00260002,P003,Credit,377.66,2025-12-31,Branch,Cancelled,True,sdv-id-DNRKBY
T00260003,P001,Banking,35.59,2025-08-03,Online,Pending,False,sdv-id-DNRKBY
T00260004,P010,Insurance,167.23,2022-05-30,Branch,Completed,True,sdv-id-DNRKBY
T00270000,P006,Credit,2491.38,2025-07-23,Online,Completed,True,sdv-id-InmFNO
T00270001,P001,Banking,95.44,2025-08-20,Phone,Pending,False,sdv-id-InmFNO
T00270002,P002,Banking,7.9,2025-11-07,Online,Completed,False,sdv-id-InmFNO
T00270003,P001,Banking,47.38,2025-09-12,Online,Pending,True,sdv-id-InmFNO
T00270004,P013,Banking,708.8,2025-10-26,Branch,Pending,True,sdv-id-InmFNO
T00270005,P009,Insurance,117.15,2025-07-19,Branch,Completed,True,sdv-id-InmFNO
T00280000,P015,Investment,319.71,2025-11-27,Branch,Pending,True,sdv-id-rBHjHP
T00280001,P002,Banking,523.81,2022-02-16,Branch,Completed,False,sdv-id-rBHjHP
T00280002,P010,Insurance,105.48,2025-10-14,Online,Pending,True,sdv-id-rBHjHP
T00280003,P011,Investment,257.7,2025-10-15,Online,Pending,True,sdv-id-rBHjHP
T00290000,P010,Insurance,272.93,2025-10-23,Online,Completed,True,sdv-id-bLhNYB
T00290001,P003,Credit,1761.31,2022-06-28,Branch,Completed,True,sdv-id-bLhNYB
T00300000,P013,Banking,1783.53,2022-03-17,Branch,Completed,True,sdv-id-dbtMmE
T00300001,P008,Insurance,55.27,2025-04-07,Online,Pending,False,sdv-id-dbtMmE
T00300002,P012,Investment,983.18,2025-06-01,Mobile App,Completed,True,sdv-id-dbtMmE
T00310000,P013,Banking,1243.66,2025-07-23,Online,Pending,True,sdv-id-OjCmpd
T00310001,P001,Banking,0.06,2025-09-19,Online,Pending,False,sdv-id-OjCmpd
T00310002,P005,Credit,728.67,2022-03-16,Mobile App,Pending,True,sdv-id-OjCmpd
T00310003,P014,Banking,1863.92,2022-06-21,Branch,Completed,True,sdv-id-OjCmpd
T00310004,P008,Insurance,38.22,2025-08-03,Branch,Completed,False,sdv-id-OjCmpd
T00310005,P008,Insurance,35.03,2022-08-23,Branch,Completed,True,sdv-id-OjCmpd
T00310006,P002,Banking,0.06,2025-09-12,Online,Pending,False,sdv-id-OjCmpd
T00320000,P014,Banking,1645.16,2025-08-17,Branch,Pending,True,sdv-id-ZMgEQb
T00320001,P002,Banking,403.65,2025-09-22,Branch,Pending,True,sdv-id-ZMgEQb
T00320002,P011,Investment,168.63,2022-05-28,Online,Completed,True,sdv-id-ZMgEQb
T00320003,P002,Banking,228.76,2022-02-24,Branch,Pending,False,sdv-id-ZMgEQb
T00320004,P002,Banking,25.05,2024-08-08,Branch,Completed,False,sdv-id-ZMgEQb
T00330000,P005,Credit,94.24,2024-07-30,Mobile App,Completed,True,sdv-id-vMjXsB
T00340000,P013,Banking,1022.48,2025-08-17,Branch,Completed,True,sdv-id-cTQiLK
T00340001,P001,Banking,0.06,2025-10-02,Online,Completed,False,sdv-id-cTQiLK
T00340002,P001,Banking,61.32,2022-10-26,Online,Completed,False,sdv-id-cTQiLK
T00340003,P013,Banking,832.1,2025-09-30,Branch,Pending,True,sdv-id-cTQiLK
T00350000,P014,Banking,2075.34,2022-04-07,Branch,Pending,True,sdv-id-tSGcIm
T00350001,P002,Banking,5.49,2022-08-10,Online,Pending,False,sdv-id-tSGcIm
T00350002,P012,Investment,1994.89,2022-05-29,Branch,Pending,True,sdv-id-tSGcIm
T00350003,P009,Insurance,69.19,2024-08-21,Online,Pending,False,sdv-id-tSGcIm
T00360000,P011,Investment,1199.55,2022-04-15,Online,Pending,True,sdv-id-TFdgHt
T00360001,P002,Banking,380.65,2025-07-16,Online,Completed,False,sdv-id-TFdgHt
T00360002,P010,Insurance,807.54,2022-02-16,Branch,Completed,True,sdv-id-TFdgHt
T00360003,P005,Credit,69.84,2025-11-23,Branch,Pending,True,sdv-id-TFdgHt
T00370000,P010,Insurance,34.04,2025-07-02,Branch,Completed,True,sdv-id-raGkgW
T00370001,P007,Credit,52724.85,2025-09-19,Branch,Completed,True,sdv-id-raGkgW
T00370002,P011,Investment,8989.86,2022-05-30,Branch,Pending,True,sdv-id-raGkgW
T00380000,P008,Insurance,45.15,2025-11-03,Branch,Pending,False,sdv-id-xYznOJ
T00380001,P014,Banking,458.68,2022-03-30,Branch,Pending,True,sdv-id-xYznOJ
T00380002,P008,Insurance,36.51,2025-07-21,Online,Completed,False,sdv-id-xYznOJ
T00390000,P008,Insurance,61.09,2025-12-31,Branch,Cancelled,False,sdv-id-JqOJJh
T00390001,P014,Banking,1882.9,2022-07-18,Branch,Completed,True,sdv-id-JqOJJh
T00390002,P008,Insurance,183.4,2022-01-01,Mobile App,Completed,True,sdv-id-JqOJJh
T00390003,P010,Insurance,140.52,2022-04-01,Branch,Completed,True,sdv-id-JqOJJh
T00390004,P001,Banking,0.06,2022-09-30,Online,Completed,False,sdv-id-JqOJJh
T00390005,P015,Investment,14.88,2024-11-10,Online,Completed,False,sdv-id-JqOJJh
T00400000,P011,Investment,156.27,2025-11-04,Branch,Completed,True,sdv-id-dcXrxF
T00400001,P003,Credit,211.21,2022-01-12,Online,Completed,False,sdv-id-dcXrxF
T00400002,P009,Insurance,41.87,2025-08-21,Online,Completed,True,sdv-id-dcXrxF
T00400003,P001,Banking,36.4,2025-11-29,Branch,Pending,False,sdv-id-dcXrxF
T00400004,P005,Credit,10450.32,2022-06-30,Branch,Pending,True,sdv-id-dcXrxF
T00400005,P008,Insurance,71.33,2022-07-06,Online,Completed,False,sdv-id-dcXrxF
T00400006,P010,Insurance,751.04,2025-07-01,Branch,Completed,False,sdv-id-dcXrxF
T00400007,P003,Credit,477.92,2025-11-11,Branch,Completed,True,sdv-id-dcXrxF
T00400008,P009,Insurance,156.33,2025-12-19,Online,Completed,False,sdv-id-dcXrxF
T00400009,P002,Banking,0.06,2025-09-19,Online,Cancelled,False,sdv-id-dcXrxF
T00410000,P013,Banking,922.17,2025-10-02,Branch,Cancelled,False,sdv-id-FFWYyV
T00410001,P010,Insurance,197.75,2022-02-06,Branch,Completed,True,sdv-id-FFWYyV
T00410002,P009,Insurance,54.35,2024-10-03,Online,Pending,False,sdv-id-FFWYyV
T00410003,P001,Banking,20.9,2025-11-18,Branch,Pending,True,sdv-id-FFWYyV
T00420000,P010,Insurance,746.35,2025-10-30,Online,Cancelled,False,sdv-id-NkuBeg
T00420001,P014,Banking,4617.27,2022-06-28,Branch,Completed,True,sdv-id-NkuBeg
T00420002,P013,Banking,817.61,2025-06-04,Branch,Pending,True,sdv-id-NkuBeg
T00420003,P008,Insurance,53.9,2025-09-09,Branch,Pending,False,sdv-id-NkuBeg
T00420004,P001,Banking,16.53,2025-05-31,Online,Completed,False,sdv-id-NkuBeg
T00430000,P006,Credit,28.68,2022-01-15,Branch,Completed,True,sdv-id-VEfaTd
T00430001,P001,Banking,9.38,2025-12-06,Online,Completed,False,sdv-id-VEfaTd
T00430002,P002,Banking,0.06,2024-09-09,Phone,Completed,False,sdv-id-VEfaTd
T00430003,P002,Banking,394.91,2025-12-07,Branch,Cancelled,True,sdv-id-VEfaTd
T00430004,P015,Investment,337.68,2025-12-02,Online,Completed,False,sdv-id-VEfaTd
T00430005,P002,Banking,284.78,2025-08-14,Online,Pending,False,sdv-id-VEfaTd
T00430006,P008,Insurance,38.65,2025-11-29,Branch,Cancelled,False,sdv-id-VEfaTd
T00440000,P002,Banking,10.84,2024-05-09,Branch,Pending,False,sdv-id-WYfWTu
T00440001,P010,Insurance,183.35,2025-07-23,Branch,Pending,True,sdv-id-WYfWTu
T00440002,P012,Investment,4280.48,2022-02-13,Branch,Completed,True,sdv-id-WYfWTu
T00440003,P010,Insurance,652.46,2025-06-25,Branch,Completed,False,sdv-id-WYfWTu
T00440004,P010,Insurance,109.95,2024-06-09,Mobile App,Pending,True,sdv-id-WYfWTu
T00440005,P002,Banking,16.31,2025-08-15,Branch,Completed,False,sdv-id-WYfWTu
T00440006,P001,Banking,0.06,2025-09-09,Online,Completed,False,sdv-id-WYfWTu
T00440007,P014,Banking,1914.59,2022-01-02,Branch,Completed,True,sdv-id-WYfWTu
T00450000,P009,Insurance,179.87,2022-12-22,Online,Pending,True,sdv-id-ywBVKB
T00450001,P001,Banking,377.86,2025-09-01,Online,Completed,False,sdv-id-ywBVKB
T00450002,P014,Banking,1906.55,2023-01-27,Branch,Completed,True,sdv-id-ywBVKB
T00450003,P009,Insurance,71.28,2025-11-01,Online,Completed,True,sdv-id-ywBVKB
T00450004,P011,Investment,169.49,2025-09-09,Branch,Completed,True,sdv-id-ywBVKB
T00460000,P006,Credit,94.82,2025-11-11,Branch,Completed,True,sdv-id-nvAGem
T00460001,P010,Insurance,184.17,2025-06-27,Online,Pending,True,sdv-id-nvAGem
T00460002,P011,Investment,726.8,2025-08-30,Branch,Completed,True,sdv-id-nvAGem
T00460003,P011,Investment,117.72,2023-02-23,Branch,Completed,True,sdv-id-nvAGem
T00460004,P001,Banking,156.75,2022-05-07,Online,Completed,True,sdv-id-nvAGem
T00460005,P013,Banking,805.07,2024-05-31,Mobile App,Completed,True,sdv-id-nvAGem
T00470000,P012,Investment,1888.21,2025-10-28,Branch,Pending,True,sdv-id-hVsbaT
T00470001,P008,Insurance,49.61,2022-03-31,Branch,Completed,True,sdv-id-hVsbaT
T00470002,P010,Insurance,46.19,2025-07-18,Branch,Completed,True,sdv-id-hVsbaT
T00470003,P006,Credit,53.43,2025-12-10,Branch,Completed,True,sdv-id-hVsbaT
T00470004,P009,Insurance,137.63,2022-12-26,Online,Pending,True,sdv-id-hVsbaT
T00470005,P001,Banking,53.94,2025-08-18,Online,Pending,False,sdv-id-hVsbaT
T00480000,P013,Banking,906.44,2024-06-13,Branch,Pending,True,sdv-id-imIXTS
T00480001,P010,Insurance,771.59,2022-11-18,Mobile App,Completed,True,sdv-id-imIXTS
T00480002,P008,Insurance,37.13,2025-06-29,Online,Pending,False,sdv-id-imIXTS
T00490000,P001,Banking,37.1,2022-10-31,Online,Pending,False,sdv-id-ezADuu
T00490001,P014,Banking,2104.55,2022-04-09,Online,Completed,True,sdv-id-ezADuu
T00490002,P010,Insurance,90.8,2024-11-22,Branch,Cancelled,True,sdv-id-ezADuu
T00490003,P003,Credit,470.05,2022-09-25,Branch,Completed,True,sdv-id-ezADuu
T00500000,P001,Banking,0.06,2025-11-03,Online,Pending,False,sdv-id-uPYWeG
T00500001,P001,Banking,0.06,2025-07-22,Online,Completed,False,sdv-id-uPYWeG
T00500002,P012,Investment,286.87,2025-12-04,Branch,Completed,True,sdv-id-uPYWeG
T00500003,P014,Banking,1960.09,2022-03-28,Online,Completed,True,sdv-id-uPYWeG
T00500004,P015,Investment,9.69,2025-09-28,Online,Completed,False,sdv-id-uPYWeG
T00510000,P010,Insurance,198.93,2025-05-13,Branch,Completed,True,sdv-id-DJpSsV
T00510001,P002,Banking,5.73,2025-12-27,Online,Cancelled,False,sdv-id-DJpSsV
T00520000,P010,Insurance,140.05,2025-10-13,Branch,Cancelled,True,sdv-id-TCParK
T00520001,P010,Insurance,78.55,2025-01-28,Mobile App,Completed,True,sdv-id-TCParK
T00520002,P008,Insurance,53.66,2024-10-02,Online,Completed,False,sdv-id-TCParK
T00520003,P002,Banking,284.63,2022-01-31,Online,Pending,False,sdv-id-TCParK
T00520004,P008,Insurance,20.9,2022-01-02,Online,Cancelled,False,sdv-id-TCParK
T00530000,P010,Insurance,71.04,2025-09-25,Online,Completed,False,sdv-id-WvkigN
T00530001,P005,Credit,37.3,2022-05-26,Branch,Pending,True,sdv-id-WvkigN
T00530002,P008,Insurance,117.51,2025-08-08,Branch,Cancelled,True,sdv-id-WvkigN
T00530003,P007,Credit,482.39,2022-05-18,Branch,Completed,True,sdv-id-WvkigN
T00530004,P002,Banking,18.21,2025-06-11,Branch,Pending,True,sdv-id-WvkigN
T00530005,P010,Insurance,65.06,2023-05-13,Branch,Pending,True,sdv-id-WvkigN
T00540000,P005,Credit,191.78,2022-04-25,Online,Cancelled,True,sdv-id-GLBiQd
T00540001,P014,Banking,1453.77,2025-12-12,Online,Completed,True,sdv-id-GLBiQd
T00540002,P013,Banking,972.78,2025-09-04,Branch,Pending,True,sdv-id-GLBiQd
T00540003,P013,Banking,5195.07,2025-09-15,Branch,Completed,True,sdv-id-GLBiQd
T00550000,P010,Insurance,77.21,2025-09-19,Mobile App,Completed,False,sdv-id-ujmLTC
T00560000,P001,Banking,0.06,2024-05-22,Online,Pending,False,sdv-id-rfWeZd
T00560001,P010,Insurance,139.24,2025-09-04,Phone,Completed,False,sdv-id-rfWeZd
T00560002,P002,Banking,354.74,2022-02-28,Mobile App,Pending,True,sdv-id-rfWeZd
T00560003,P013,Banking,832.06,2025-09-25,Branch,Cancelled,False,sdv-id-rfWeZd
T00560004,P009,Insurance,81.07,2025-07-24,Phone,Completed,True,sdv-id-rfWeZd
T00560005,P008,Insurance,46.82,2025-05-01,Phone,Completed,True,sdv-id-rfWeZd
T00560006,P005,Credit,99.47,2022-11-28,Branch,Completed,True,sdv-id-rfWeZd
T00560007,P010,Insurance,1923.32,2025-11-06,Branch,Completed,True,sdv-id-rfWeZd
T00570000,P012,Investment,4549.3,2022-02-10,Branch,Completed,True,sdv-id-BUWTPn
T00580000,P013,Banking,1493.21,2025-08-21,Branch,Completed,True,sdv-id-UlUuwk
T00580001,P014,Banking,1967.9,2022-02-26,Branch,Completed,True,sdv-id-UlUuwk
T00580002,P008,Insurance,0.06,2022-02-18,Online,Completed,False,sdv-id-UlUuwk
T00580003,P009,Insurance,56.58,2024-03-04,Phone,Completed,True,sdv-id-UlUuwk
T00580004,P008,Insurance,0.06,2022-04-12,Online,Pending,False,sdv-id-UlUuwk
T00580005,P002,Banking,5.67,2022-05-29,Branch,Pending,False,sdv-id-UlUuwk
T00580006,P013,Banking,1672.81,2025-01-17,Branch,Cancelled,True,sdv-id-UlUuwk
T00590000,P001,Banking,35.65,2025-03-24,Branch,Completed,True,sdv-id-xRVnIm
T00590001,P001,Banking,490.09,2024-10-16,Online,Pending,True,sdv-id-xRVnIm
T00590002,P005,Credit,184.09,2022-04-04,Online,Completed,True,sdv-id-xRVnIm
T00590003,P004,Credit,70.33,2025-07-11,Branch,Pending,True,sdv-id-xRVnIm
T00600000,P002,Banking,16.74,2025-04-21,Branch,Pending,True,sdv-id-HuZORX
T00600001,P010,Insurance,253.09,2025-06-11,Online,Completed,True,sdv-id-HuZORX
T00600002,P008,Insurance,84.87,2025-05-14,Branch,Cancelled,True,sdv-id-HuZORX
T00610000,P002,Banking,0.06,2025-09-16,Online,Cancelled,False,sdv-id-OBLEPS
T00620000,P008,Insurance,76.36,2022-02-27,Branch,Completed,False,sdv-id-UcOoUC
T00620001,P009,Insurance,116.16,2025-11-20,Online,Pending,True,sdv-id-UcOoUC
T00620002,P011,Investment,466.51,2022-04-21,Online,Completed,True,sdv-id-UcOoUC
T00630000,P011,Investment,64.68,2022-05-13,Branch,Pending,True,sdv-id-mOoVGi
T00630001,P013,Banking,709.47,2025-08-19,Online,Completed,True,sdv-id-mOoVGi
T00630002,P008,Insurance,51.66,2025-06-02,Branch,Completed,False,sdv-id-mOoVGi
T00630003,P008,Insurance,32.84,2025-11-06,Mobile App,Completed,True,sdv-id-mOoVGi
T00630004,P002,Banking,14.25,2022-01-24,Branch,Completed,True,sdv-id-mOoVGi
T00630005,P008,Insurance,42.15,2022-03-27,Branch,Completed,True,sdv-id-mOoVGi
T00640000,P015,Investment,10.39,2025-10-16,Online,Completed,False,sdv-id-QeMIAb
T00640001,P001,Banking,0.06,2025-12-04,Online,Pending,False,sdv-id-QeMIAb
T00640002,P012,Investment,1417.33,2024-10-30,Mobile App,Completed,True,sdv-id-QeMIAb
T00650000,P006,Credit,8981.43,2022-11-26,Branch,Pending,True,sdv-id-FFCxMP
T00650001,P002,Banking,0.06,2022-01-09,Branch,Pending,False,sdv-id-FFCxMP
T00650002,P014,Banking,1924.35,2025-12-10,Branch,Completed,True,sdv-id-FFCxMP
T00650003,P009,Insurance,2229.09,2025-12-06,Online,Pending,True,sdv-id-FFCxMP
T00650004,P002,Banking,29.78,2022-03-07,Branch,Cancelled,True,sdv-id-FFCxMP
T00660000,P008,Insurance,93.77,2022-06-16,Online,Completed,True,sdv-id-BLgeVa
T00670000,P001,Banking,0.06,2024-06-02,Online,Completed,False,sdv-id-VThUoY
T00670001,P012,Investment,720.2,2022-01-01,Branch,Completed,True,sdv-id-VThUoY
T00670002,P001,Banking,358.46,2024-08-14,Online,Pending,False,sdv-id-VThUoY
T00680000,P011,Investment,184.76,2025-12-11,Branch,Completed,True,sdv-id-HyzjjY
T00680001,P010,Insurance,980.86,2025-11-28,Branch,Pending,True,sdv-id-HyzjjY
T00680002,P010,Insurance,1082.65,2025-12-31,Branch,Pending,False,sdv-id-HyzjjY
T00690000,P012,Investment,4750.08,2022-05-05,Branch,Completed,True,sdv-id-IuYsYA
T00690001,P003,Credit,1365.22,2025-10-03,Online,Pending,True,sdv-id-IuYsYA
T00690002,P001,Banking,46.43,2025-10-16,Online,Pending,False,sdv-id-IuYsYA
T00690003,P006,Credit,12326.41,2024-06-07,Online,Pending,True,sdv-id-IuYsYA
T00690004,P014,Banking,1252.88,2022-04-24,Branch,Completed,True,sdv-id-IuYsYA
T00690005,P001,Banking,31.48,2025-07-20,Online,Completed,False,sdv-id-IuYsYA
T00690006,P011,Investment,1224.36,2022-03-26,Online,Pending,True,sdv-id-IuYsYA
T00690007,P002,Banking,471.29,2022-01-19,Branch,Cancelled,True,sdv-id-IuYsYA
T00690008,P014,Banking,1312.73,2025-11-29,Branch,Completed,True,sdv-id-IuYsYA
T00700000,P010,Insurance,117.38,2023-11-13,Online,Completed,False,sdv-id-QDhofU
T00700001,P008,Insurance,176.23,2025-11-09,Online,Completed,True,sdv-id-QDhofU
T00700002,P014,Banking,1332.05,2022-05-25,Online,Pending,True,sdv-id-QDhofU
T00700003,P014,Banking,811.87,2025-06-11,Branch,Completed,True,sdv-id-QDhofU
T00710000,P002,Banking,31.97,2025-08-12,Online,Completed,False,sdv-id-uXywtg
T00710001,P012,Investment,4557.97,2022-05-19,Branch,Pending,True,sdv-id-uXywtg
T00710002,P009,Insurance,89.02,2022-01-14,Phone,Completed,True,sdv-id-uXywtg
T00710003,P002,Banking,355.77,2025-01-30,Phone,Completed,False,sdv-id-uXywtg
T00710004,P002,Banking,20.92,2025-08-27,Online,Cancelled,False,sdv-id-uXywtg
T00720000,P014,Banking,2062.21,2022-05-13,Branch,Completed,True,sdv-id-MBDlQW
T00720001,P005,Credit,557.82,2022-04-08,Branch,Completed,True,sdv-id-MBDlQW
T00720002,P014,Banking,1614.14,2022-05-16,Branch,Pending,True,sdv-id-MBDlQW
T00730000,P002,Banking,19.3,2022-03-21,Online,Completed,False,sdv-id-sQdHyP
T00730001,P011,Investment,95.13,2022-03-31,Branch,Completed,True,sdv-id-sQdHyP
T00730002,P014,Banking,2012.61,2022-07-07,Branch,Completed,True,sdv-id-sQdHyP
