method,iter,quality_score,diagnostic_score,cust_column_shapes,cust_pair_trends,txn_column_shapes,cross_table_mad,ia_ks_pvalue,autocorr_mae,new_row_synthesis,dcr_protection
M5 MST-DP,15,0.9252,0.9995,0.9287,0.8258,0.8482,0.389,0.0,0.5715,1.0,0.5702
M1 HMA-GC,16,0.885,1.0,0.9384,0.7226,0.8647,0.3946,0.0,0.0725,1.0,0.594
M2 CTGAN,16,0.842,0.9997,0.8405,0.5529,0.9039,0.3892,0.0105,0.0081,1.0,0.7048
M3 PAR,16,0.6479,0.74,0.7849,0.5483,0.7803,0.3302,0.0,0.0362,1.0,0.7436
M4 TVAE,16,0.8767,0.9998,0.7935,0.7796,0.8256,0.4213,0.0,0.0311,1.0,0.6755
M5 MST-DP,16,0.8566,0.9996,0.9215,0.8212,0.8476,0.4007,0.0,0.5804,1.0,0.5905
M1 HMA-GC,17,0.881,1.0,0.9412,0.7241,0.8708,0.3951,0.0,0.0634,1.0,0.5983
M2 CTGAN,17,0.8469,0.9998,0.8372,0.5572,0.9046,0.415,0.0095,0.0028,1.0,0.7082
M3 PAR,17,0.6415,0.7421,0.785,0.5422,0.7858,0.3064,0.0,0.0307,1.0,0.7617
M4 TVAE,17,0.8812,1.0,0.796,0.7793,0.8219,0.4012,0.0,0.0161,1.0,0.6473
M5 MST-DP,17,0.8516,0.9996,0.9203,0.8392,0.8469,0.4036,0.0,0.5747,1.0,0.6004
M1 HMA-GC,18,0.8805,1.0,0.9311,0.7211,0.8651,0.3688,0.0,0.0796,1.0,0.6427
M2 CTGAN,18,0.8454,1.0,0.839,0.5509,0.9053,0.3868,0.0073,0.0067,1.0,0.6711
M3 PAR,18,0.6386,0.738,0.7851,0.5307,0.7839,0.2948,0.0,0.0413,1.0,0.7477
M4 TVAE,18,0.8779,1.0,0.7844,0.7726,0.8224,0.3922,0.0,0.0235,1.0,0.6771
M5 MST-DP,18,0.8554,0.9997,0.9249,0.8435,0.8438,0.3868,0.0,0.5918,1.0,0.5746
M1 HMA-GC,19,0.8873,1.0,0.9394,0.7394,0.8664,0.3843,0.0,0.0731,1.0,0.608
M2 CTGAN,19,0.8467,0.9999,0.8329,0.5752,0.9069,0.3862,0.0041,0.0083,1.0,0.674
M3 PAR,19,0.6416,0.7395,0.7842,0.545,0.7851,0.293,0.0,0.0137,1.0,0.7563
M4 TVAE,19,0.8758,1.0,0.7935,0.7562,0.8266,0.3888,0.0,0.0206,1.0,0.6876
M5 MST-DP,19,0.8555,0.9996,0.924,0.8285,0.837,0.3759,0.0,0.5823,1.0,0.5649
M1 HMA-GC,20,0.8764,1.0,0.9315,0.7255,0.864,0.3763,0.0,0.0758,1.0,0.6045
M2 CTGAN,20,0.8397,1.0,0.8394,0.5619,0.9077,0.3794,0.0046,0.0026,1.0,0.7114
M3 PAR,20,0.628,0.7455,0.7924,0.534,0.783,0.3028,0.0,0.0468,1.0,0.7465
M4 TVAE,20,0.8616,1.0,0.7999,0.774,0.8241,0.3992,0.0,0.0268,1.0,0.65
M5 MST-DP,20,0.8472,0.9997,0.92,0.8295,0.8486,0.3967,0.0,0.5825,1.0,0.556
M1 HMA-GC,21,0.881,0.9999,0.9397,0.7389,0.8634,0.3663,0.0,0.0874,1.0,0.6365
M2 CTGAN,21,0.8378,0.9992,0.8411,0.5541,0.9075,0.394,0.017,0.0006,1.0,0.6752
M3 PAR,21,0.6343,0.7402,0.7832,0.5433,0.7834,0.3082,0.0,0.0385,1.0,0.7415
M4 TVAE,21,0.8814,0.9999,0.7954,0.7782,0.8223,0.3942,0.0,0.0316,1.0,0.6777
M5 MST-DP,21,0.8582,0.9997,0.9286,0.846,0.8418,0.3813,0.0,0.5417,1.0,0.5678
M1 HMA-GC,22,0.8649,1.0,0.9356,0.7288,0.8627,0.3671,0.0,0.0861,1.0,0.63
M2 CTGAN,22,0.8454,0.9997,0.8392,0.5668,0.9056,0.3926,0.0103,0.0123,1.0,0.6735
M3 PAR,22,0.5697,0.741,0.7839,0.5593,0.7807,0.2877,0.0,0.0361,1.0,0.7571
M4 TVAE,22,0.8858,1.0,0.7951,0.7756,0.8285,0.3901,0.0,0.0345,1.0,0.6671
M5 MST-DP,22,0.9312,0.9997,0.9236,0.8491,0.8498,0.3714,0.0,0.5439,1.0,0.5781
M1 HMA-GC,23,0.8722,0.9999,0.9325,0.7353,0.8667,0.3846,0.0,0.087,1.0,0.6133
M2 CTGAN,23,0.86,0.9995,0.8381,0.5733,0.907,0.3966,0.0007,0.0015,1.0,0.6826
M3 PAR,23,0.5798,0.7419,0.7845,0.5418,0.7831,0.2985,0.0,0.0329,1.0,0.7118
M4 TVAE,23,0.889,1.0,0.8,0.7847,0.8208,0.3801,0.0,0.0273,1.0,0.6832
M5 MST-DP,23,0.9211,0.9995,0.9156,0.8024,0.8377,0.3843,0.0,0.5718,1.0,0.5881
M1 HMA-GC,24,0.8772,0.9999,0.9371,0.7416,0.8658,0.3817,0.0,0.0964,1.0,0.6214
M2 CTGAN,24,0.8569,0.9992,0.8344,0.5694,0.9072,0.3808,0.0091,0.0163,1.0,0.6897
M3 PAR,24,0.5847,0.7343,0.7833,0.5374,0.7858,0.2873,0.0,0.0416,1.0,0.754
M4 TVAE,24,0.8864,1.0,0.7938,0.7708,0.8251,0.3721,0.0,0.0336,1.0,0.6573
M5 MST-DP,24,0.9266,0.9992,0.9193,0.8011,0.8422,0.381,0.0,0.5601,1.0,0.5684
M1 HMA-GC,25,0.8706,1.0,0.9374,0.728,0.8637,0.382,0.0,0.0985,1.0,0.6288
M2 CTGAN,25,0.8453,0.9998,0.8328,0.554,0.9052,0.396,0.0061,0.0202,1.0,0.6819
M3 PAR,25,0.5742,0.7468,0.7808,0.5488,0.7787,0.3088,0.0,0.0559,1.0,0.7385
M4 TVAE,25,0.879,1.0,0.7861,0.772,0.8238,0.3987,0.0,0.0339,1.0,0.6891
M5 MST-DP,25,0.9258,0.9997,0.9221,0.8335,0.8496,0.3769,0.0,0.5804,1.0,0.5851
M1 HMA-GC,26,0.8712,1.0,0.9391,0.7265,0.8646,0.3778,0.0,0.0815,1.0,0.6275
M2 CTGAN,26,0.8454,1.0,0.8422,0.5627,0.9065,0.3838,0.0019,0.0108,1.0,0.6514
M3 PAR,26,0.5716,0.7493,0.7784,0.5415,0.7834,0.2953,0.0,0.0369,1.0,0.7753
M4 TVAE,26,0.8673,1.0,0.7856,0.7474,0.8246,0.381,0.0,0.0185,1.0,0.6826
M5 MST-DP,26,0.9238,0.9997,0.9246,0.8241,0.8476,0.3915,0.0,0.5593,1.0,0.581
M1 HMA-GC,27,0.8716,1.0,0.9395,0.7293,0.8635,0.366,0.0,0.0877,1.0,0.6068
M2 CTGAN,27,0.8463,1.0,0.8442,0.5559,0.9087,0.3954,0.0395,0.0227,1.0,0.6959
M3 PAR,27,0.5678,0.7423,0.7781,0.5376,0.7802,0.2999,0.0,0.0421,1.0,0.7206
M4 TVAE,27,0.885,1.0,0.7907,0.774,0.8286,0.406,0.0,0.0296,1.0,0.6746
M5 MST-DP,27,0.928,0.9996,0.9186,0.8394,0.8446,0.3982,0.0,0.583,1.0,0.5828
M1 HMA-GC,28,0.8764,1.0,0.9319,0.7158,0.8622,0.384,0.0,0.088,1.0,0.6354
M2 CTGAN,28,0.8366,0.9998,0.8435,0.5527,0.9079,0.3954,0.0061,0.0101,1.0,0.702
M3 PAR,28,0.6344,0.7364,0.7875,0.536,0.7854,0.3141,0.0,0.0617,1.0,0.7326
M4 TVAE,28,0.8802,1.0,0.7946,0.7766,0.828,0.394,0.0,0.0286,1.0,0.6755
M5 MST-DP,28,0.849,0.9995,0.9243,0.8166,0.8476,0.3806,0.0,0.5666,1.0,0.5921
M1 HMA-GC,29,0.874,0.9986,0.9366,0.7338,0.8644,0.3871,0.0,0.078,1.0,0.6378
M2 CTGAN,29,0.8598,0.9996,0.8367,0.5636,0.9074,0.421,0.0001,0.0141,1.0,0.676
M3 PAR,29,0.5835,0.7443,0.778,0.5375,0.7826,0.3209,0.0,0.0216,1.0,0.721
M4 TVAE,29,0.8846,0.9996,0.7912,0.7699,0.8254,0.4039,0.0,0.0261,1.0,0.6786
M5 MST-DP,29,0.9291,0.9996,0.9209,0.8412,0.8475,0.3993,0.0,0.5792,1.0,0.592
M1 HMA-GC,30,0.8767,1.0,0.9292,0.7175,0.8649,0.3932,0.0,0.0736,1.0,0.6277
M2 CTGAN,30,0.838,1.0,0.8406,0.5499,0.9092,0.4013,0.0122,0.0032,1.0,0.6834
M3 PAR,30,0.6341,0.7458,0.7835,0.5432,0.7805,0.2974,0.0,0.0338,1.0,0.7424
M4 TVAE,30,0.8631,1.0,0.7909,0.7783,0.8229,0.3804,0.0,0.0322,1.0,0.7125
M5 MST-DP,30,0.8516,0.9998,0.9213,0.8466,0.8481,0.396,0.0,0.5427,1.0,0.5802
M1 HMA-GC,31,0.8716,1.0,0.9368,0.7284,0.8631,0.3753,0.0,0.0845,1.0,0.6212
M2 CTGAN,31,0.8444,0.9999,0.8363,0.5505,0.9071,0.3773,0.0031,0.0202,1.0,0.7011
M3 PAR,31,0.5726,0.7479,0.79,0.5522,0.7839,0.2937,0.0,0.0497,1.0,0.7615
M4 TVAE,31,0.8796,1.0,0.7934,0.7544,0.8236,0.4062,0.0,0.0268,1.0,0.6579
M5 MST-DP,31,0.9283,0.9997,0.9235,0.8399,0.846,0.3818,0.0,0.5858,1.0,0.5695
M1 HMA-GC,32,0.8864,0.9999,0.9364,0.7441,0.8647,0.3912,0.0,0.0787,1.0,0.6278
M2 CTGAN,32,0.85,0.9998,0.8402,0.5731,0.9038,0.3936,0.0092,0.0109,1.0,0.6689
M3 PAR,32,0.6353,0.7478,0.7817,0.5414,0.7825,0.2919,0.0,0.0552,1.0,0.7574
M4 TVAE,32,0.8833,1.0,0.801,0.788,0.8298,0.3897,0.0,0.0352,1.0,0.6703
M5 MST-DP,32,0.8547,0.9994,0.9244,0.8189,0.85,0.3827,0.0,0.574,1.0,0.6012
M1 HMA-GC,33,0.8726,1.0,0.9361,0.7426,0.8633,0.3833,0.0,0.0759,1.0,0.6136
M2 CTGAN,33,0.861,0.9994,0.8365,0.5784,0.9061,0.4008,0.0024,0.0147,1.0,0.7137
M3 PAR,33,0.5824,0.7434,0.78,0.5424,0.7804,0.2932,0.0,0.0365,1.0,0.7603
M4 TVAE,33,0.8843,0.9999,0.7947,0.7832,0.8258,0.3829,0.0,0.0186,1.0,0.665
M5 MST-DP,33,0.9368,0.9996,0.924,0.8287,0.8495,0.3868,0.0,0.5693,1.0,0.6079
M1 HMA-GC,34,0.8759,1.0,0.9381,0.7296,0.8673,0.3825,0.0,0.0669,1.0,0.6105
M2 CTGAN,34,0.8619,1.0,0.8409,0.5696,0.9094,0.3958,0.0288,0.0075,1.0,0.6835
M3 PAR,34,0.587,0.7425,0.7845,0.5517,0.7833,0.2927,0.0,0.0338,1.0,0.7475
M4 TVAE,34,0.8891,1.0,0.7976,0.7738,0.8268,0.3873,0.0,0.0296,1.0,0.6729
M5 MST-DP,34,0.9347,0.9996,0.9228,0.8353,0.8493,0.3843,0.0,0.5618,1.0,0.5889
M1 HMA-GC,35,0.8679,1.0,0.932,0.7419,0.8632,0.3784,0.0,0.0768,1.0,0.6389
M2 CTGAN,35,0.8392,1.0,0.837,0.5571,0.9105,0.3822,0.0269,0.0102,1.0,0.6826
M3 PAR,35,0.5652,0.7415,0.7768,0.5267,0.7823,0.2979,0.0,0.0488,1.0,0.7379
M4 TVAE,35,0.8805,1.0,0.7924,0.7657,0.8283,0.3758,0.0,0.0308,1.0,0.6714
M5 MST-DP,35,0.9175,0.9997,0.9222,0.8264,0.8451,0.3817,0.0,0.57,1.0,0.5778
M1 HMA-GC,36,0.8784,0.9999,0.9338,0.7287,0.8615,0.3734,0.0,0.0799,1.0,0.6006
M2 CTGAN,36,0.8361,0.9993,0.8345,0.5619,0.9035,0.3885,0.0207,0.0145,1.0,0.6868
M3 PAR,36,0.6367,0.7471,0.7833,0.5628,0.7835,0.2903,0.0,0.0514,1.0,0.7483
M4 TVAE,36,0.8785,0.9999,0.7902,0.7887,0.8227,0.4068,0.0,0.0315,1.0,0.658
M5 MST-DP,36,0.8471,0.9996,0.9262,0.8265,0.8488,0.3978,0.0,0.5584,1.0,0.5577
M1 HMA-GC,37,0.8773,1.0,0.9377,0.7265,0.8661,0.3769,0.0,0.0765,1.0,0.6393
M2 CTGAN,37,0.8363,1.0,0.841,0.5558,0.9084,0.3741,0.0584,0.0093,1.0,0.6951
M3 PAR,37,0.6237,0.7443,0.7802,0.5306,0.7832,0.3014,0.0,0.0475,1.0,0.7323
M4 TVAE,37,0.8764,1.0,0.7845,0.7707,0.826,0.3789,0.0,0.0242,1.0,0.6877
M5 MST-DP,37,0.8552,0.9996,0.9237,0.8335,0.848,0.3871,0.0,0.5803,1.0,0.5697
M1 HMA-GC,38,0.8737,1.0,0.933,0.7385,0.8667,0.3754,0.0,0.0708,1.0,0.6174
M2 CTGAN,38,0.8575,0.9995,0.8374,0.5764,0.9052,0.397,0.0255,0.0012,1.0,0.6554
M3 PAR,38,0.5951,0.7445,0.7849,0.5669,0.7831,0.2903,0.0,0.0359,1.0,0.7819
M4 TVAE,38,0.8889,0.9999,0.7915,0.7784,0.8246,0.4016,0.0,0.0225,1.0,0.669
M5 MST-DP,38,0.9339,0.9996,0.9228,0.8376,0.8432,0.3897,0.0,0.5717,1.0,0.5931
M1 HMA-GC,39,0.8807,1.0,0.9359,0.7106,0.8687,0.3943,0.0,0.0849,1.0,0.6139
M2 CTGAN,39,0.8506,1.0,0.835,0.5566,0.9077,0.4029,0.0013,0.0184,1.0,0.6853
M3 PAR,39,0.6355,0.7479,0.7814,0.5476,0.7842,0.2835,0.0,0.0469,1.0,0.7211
M4 TVAE,39,0.8783,1.0,0.7983,0.7766,0.8258,0.3951,0.0,0.0373,1.0,0.6467
M5 MST-DP,39,0.8555,0.9996,0.925,0.8291,0.844,0.3907,0.0,0.579,1.0,0.6142
M1 HMA-GC,40,0.8775,1.0,0.9401,0.7248,0.8663,0.3597,0.0,0.073,,
M2 CTGAN,40,0.8421,1.0,0.8395,0.5667,0.912,0.3878,0.0293,0.013,,
M3 PAR,40,0.6318,0.7421,0.7825,0.5397,0.7859,0.3046,0.0,0.0711,,
M4 TVAE,40,0.8775,1.0,0.7902,0.7652,0.8246,0.4003,0.0,0.0223,,
M5 MST-DP,40,0.849,0.9997,0.9259,0.8283,0.8437,0.3753,0.0,0.564,,
M1 HMA-GC,41,0.8792,1.0,0.9358,0.7212,0.8677,0.3927,0.0,0.0642,,
M2 CTGAN,41,0.8519,0.9999,0.8441,0.5518,0.9092,0.4036,0.0581,0.0018,,
M3 PAR,41,0.6369,0.7414,0.7854,0.5569,0.7835,0.3047,0.0,0.0359,,
M4 TVAE,41,0.8826,1.0,0.7989,0.782,0.8239,0.3993,0.0,0.017,,
M5 MST-DP,41,0.8494,0.9995,0.923,0.8316,0.849,0.397,0.0,0.5588,,
M1 HMA-GC,42,0.8719,0.9999,0.9407,0.7437,0.8634,0.3931,0.0,0.0623,,
M2 CTGAN,42,0.8503,0.9995,0.8347,0.5783,0.9068,0.417,0.0073,0.0012,,
M3 PAR,42,0.5708,0.7458,0.7877,0.5308,0.7868,0.301,0.0,0.0081,,
M4 TVAE,42,0.8809,1.0,0.792,0.7828,0.8255,0.3894,0.0,0.0068,,
M5 MST-DP,42,0.9173,0.9997,0.9253,0.8224,0.8469,0.3942,0.0,0.5471,,
M1 HMA-GC,43,0.8817,1.0,0.9441,0.734,0.865,0.4031,0.0,0.0779,,
M2 CTGAN,43,0.8418,0.9999,0.835,0.5523,0.905,0.4106,0.0188,0.0128,,
M3 PAR,43,0.6394,0.7386,0.7746,0.5301,0.7845,0.3447,0.0,0.035,,
M4 TVAE,43,0.8736,1.0,0.7902,0.783,0.8238,0.4385,0.0,0.0229,,
M5 MST-DP,43,0.8511,0.9996,0.9211,0.8145,0.8497,0.4111,0.0,0.5632,,
M1 HMA-GC,44,0.8711,0.999,0.9416,0.7342,0.8634,0.3969,0.0,0.0711,,
M2 CTGAN,44,0.8524,0.9995,0.8383,0.5765,0.9035,0.3958,0.0018,0.0077,,
M3 PAR,44,0.5788,0.7404,0.7846,0.5488,0.7814,0.3024,0.0,0.0213,,
M4 TVAE,44,0.8833,0.999,0.7895,0.774,0.8246,0.3939,0.0,0.0233,,
M5 MST-DP,44,0.9324,0.9997,0.9228,0.8351,0.8457,0.3957,0.0,0.5353,,
M1 HMA-GC,45,0.883,1.0,0.9372,0.7324,0.8665,0.3746,0.0,0.0909,,
M2 CTGAN,45,0.8459,0.9993,0.8353,0.5547,0.9078,0.3857,0.031,0.0239,,
M3 PAR,45,0.6369,0.7364,0.7861,0.5542,0.7819,0.2912,0.0,0.0503,,
M4 TVAE,45,0.8739,0.9999,0.794,0.7764,0.8229,0.3815,0.0,0.0384,,
M5 MST-DP,45,0.85,0.9997,0.9269,0.8377,0.8499,0.3896,0.0,0.5969,,
M1 HMA-GC,46,0.8697,1.0,0.9329,0.7171,0.8625,0.3789,0.0,0.0831,,
M2 CTGAN,46,0.8586,0.9996,0.837,0.5562,0.9073,0.3924,0.0206,0.002,,
M3 PAR,46,0.59,0.7467,0.7868,0.5575,0.7867,0.2864,0.0,0.0394,,
M4 TVAE,46,0.8855,1.0,0.7898,0.7703,0.8265,0.3899,0.0,0.0198,,
M5 MST-DP,46,0.9334,0.9996,0.919,0.8354,0.8462,0.3796,0.0,0.5693,,
M1 HMA-GC,47,0.8709,1.0,0.9395,0.7231,0.8685,0.3693,0.0,0.0736,,
M2 CTGAN,47,0.8483,0.9998,0.835,0.5618,0.9131,0.383,0.1061,0.0029,,
M3 PAR,47,0.5785,0.7465,0.7825,0.5455,0.7824,0.2826,0.0,0.0446,,
M4 TVAE,47,0.8832,1.0,0.789,0.7778,0.8232,0.3768,0.0,0.0198,,
M5 MST-DP,47,0.9205,0.9996,0.9257,0.8164,0.8463,0.3667,0.0,0.5595,,
M1 HMA-GC,48,0.8744,1.0,0.9321,0.7225,0.8646,0.3929,0.0,0.0814,,
M2 CTGAN,48,0.8473,1.0,0.84,0.5703,0.9095,0.4063,0.0104,0.0089,,
M3 PAR,48,0.6287,0.7463,0.7893,0.5454,0.7797,0.3103,0.0,0.0533,,
M4 TVAE,48,0.8793,1.0,0.7945,0.7845,0.8253,0.4087,0.0,0.0238,,
M5 MST-DP,48,0.8398,0.9996,0.9191,0.8424,0.8463,0.3982,0.0,0.5608,,
